fdc_id,name,category,food_group,meal_type,source,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron,protein_pct,carbs_pct,fat_pct,protein_density,calorie_level,health_score,is_high_protein,diabetic_friendly,low_sodium
INT373,أخطبوط مسلوق,أسماك,بروتين,غداء، عشاء,قياسي,82,15.0,2.2,1.0,0.0,0.0,230,22,5.3,73.2,10.7,11.0,18.29,منخفض,59.2,True,True,False
INT060,أرز أبيض مسلوق,حبوب,نشويات,غداء، عشاء,قياسي,130,2.7,28.2,0.3,0.4,0.1,1,10,0.2,8.3,86.8,2.1,2.08,متوسط,45.3,False,True,True
INT378,أرز أحمر مطهو,حبوب,نشويات,غداء,قياسي,140,3.5,30.0,1.0,3.0,0.5,5,12,1.4,10.0,85.7,6.4,2.5,متوسط,54.8,False,False,True
INT062,أرز أسمر مسلوق,حبوب,نشويات,غداء، عشاء,قياسي,111,2.6,23.0,0.9,1.8,0.4,5,10,0.4,9.4,82.9,7.3,2.34,متوسط,49.3,False,True,True
INT293,أرز أسود مطهو,حبوب,نشويات,غداء,قياسي,145,4.5,32.0,1.0,3.5,0.5,5,10,1.5,12.4,88.3,6.2,3.1,متوسط,58.4,False,False,True
INT216,أرز بالحليب (رز بلبن),حلويات,ألبان,حلوى، عشاء,قياسي,111,3.2,18.5,2.8,0.1,12.0,48,110,0.2,11.5,66.7,22.7,2.88,متوسط,27.2,False,False,True
LBY079,أرز بالخلطة (بدون مكسرات مقلية),أطباق أرز,نشويات,غداء,وصفة تقديرية,185,6.5,32.4,4.2,1.8,2.5,210,18,1.3,14.1,70.1,20.4,3.51,متوسط,50.2,False,False,False
INT379,أرز بري مطهو,حبوب,نشويات,غداء,قياسي,101,4.0,21.0,0.3,1.8,0.7,3,3,0.6,15.8,83.2,2.7,3.96,متوسط,52.9,False,True,True
INT450,أرز بسمتي بالزعفران,أطباق أرز,نشويات,غداء,وصفة تقديرية,135,3.2,28.5,0.8,0.6,0.1,120,15,0.4,9.5,84.4,5.3,2.37,متوسط,47.3,False,True,True
INT063,أرز بسمتي مسلوق,حبوب,نشويات,غداء، عشاء,قياسي,121,3.5,25.2,0.4,0.5,0.1,1,12,0.3,11.6,83.3,3.0,2.89,متوسط,48.1,False,True,True
LBY012,أرز مسقي ليبي,أطباق أرز,نشويات,غداء,وصفة تقديرية,194,7.2,25.8,6.8,1.5,3.2,260,21,1.4,14.8,53.2,31.5,3.71,متوسط,48.1,False,True,False
INT433,أعشاب بحرية (نوري),خضروات,خضار,سناك، غداء,قياسي,35,5.8,5.1,0.3,0.3,0.5,48,70,2.0,66.3,58.3,7.7,16.57,منخفض,50.0,False,True,True
INT166,أفوكادو طازج,فواكه,دهون,فطور، سناك، عشاء,قياسي,160,2.0,8.5,14.7,6.7,0.7,7,12,0.6,5.0,21.2,82.7,1.25,متوسط,50.6,False,True,True
INT310,أفوكادو مشوي,فواكه,دهون,فطور، عشاء,قياسي,167,2.1,8.5,15.5,6.7,0.7,10,12,0.6,5.0,20.4,83.5,1.26,متوسط,50.8,False,True,True
INT428,أكي (فواكه استوائية),فواكه,فواكه,سناك,قياسي,70,2.0,15.0,5.0,4.0,1.0,10,20,0.5,11.4,85.7,64.3,2.86,منخفض,47.8,False,True,True
INT153,أناناس طازج,فواكه,فواكه,سناك,قياسي,50,0.5,13.1,0.1,1.4,9.9,1,13,0.3,4.0,100.0,1.8,1.0,منخفض,26.3,False,False,True
INT353,أناناس مجمد,فواكه,فواكه,سناك,قياسي,50,0.5,13.1,0.1,1.4,9.9,1,13,0.3,4.0,100.0,1.8,1.0,منخفض,26.3,False,False,True
INT260,أندومي (نودلز فورية),معجنات,نشويات,عشاء، سناك,قياسي,450,9.0,60.0,18.0,2.5,1.5,1200,20,3.5,8.0,53.3,36.0,2.0,عالي جداً,54.7,False,False,False
