fdc_id,name,category,source,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron
171515,"Chicken breast tenders, breaded, uncooked",Poultry Products,SR Legacy,1100.0,14.7,15.0,15.8,1.1,0.0,536.0,19.0,1.11
174608,"Chicken breast, roll, oven-roasted",Sausages and Luncheon Meats,SR Legacy,562.0,14.6,1.79,7.65,0.0,0.0,883.0,6.0,0.32
171514,"Chicken breast tenders, breaded, cooked, microwaved",Poultry Products,SR Legacy,252.0,16.4,17.6,12.9,0.0,0.0,446.0,14.0,1.0
172945,"Oscar Mayer, Chicken Breast (honey glazed)",Sausages and Luncheon Meats,SR Legacy,454.0,19.8,4.3,1.5,0.0,0.0,1440.0,10.0,1.13
173874,"Chicken breast, deli, rotisserie seasoned, sliced, prepackaged",Sausages and Luncheon Meats,SR Legacy,410.0,17.4,2.92,1.86,0.0,0.0,1030.0,11.0,0.39
172962,"Chicken breast, fat-free, mesquite flavor, sliced",Sausages and Luncheon Meats,SR Legacy,334.0,16.8,2.25,0.39,0.0,0.0,1040.0,4.0,0.3
172963,"Chicken breast, oven-roasted, fat-free, sliced",Sausages and Luncheon Meats,SR Legacy,332.0,16.8,2.17,0.39,0.0,0.0,1090.0,6.0,0.32
171125,"Chicken, broiler, rotisserie, BBQ, breast, meat and skin",Poultry Products,SR Legacy,175.0,26.4,0.09,7.67,0.0,0.0,329.0,16.0,0.51
171445,"Chicken, broiler, rotisserie, BBQ, breast, meat only",Poultry Products,SR Legacy,144.0,28.0,0.0,3.57,0.0,0.0,328.0,13.0,0.46
171474,"Chicken, broilers or fryers, breast, meat and skin, raw",Poultry Products,SR Legacy,720.0,20.8,0.0,9.25,0.0,0.0,63.0,11.0,0.74
171075,"Chicken, broilers or fryers, breast, meat and skin, cooked, roasted",Poultry Products,SR Legacy,197.0,29.8,0.0,7.78,0.0,0.0,71.0,14.0,1.07
171076,"Chicken, broilers or fryers, breast, meat and skin, cooked, stewed",Poultry Products,SR Legacy,184.0,27.4,0.0,7.42,0.0,0.0,62.0,13.0,0.92
171078,"Chicken, broilers or fryers, breast, meat only, cooked, fried",Poultry Products,SR Legacy,187.0,33.4,0.51,4.71,0.0,0.0,79.0,16.0,1.14
171477,"Chicken, broilers or fryers, breast, meat only, cooked, roasted",Poultry Products,SR Legacy,165.0,31.0,0.0,3.57,0.0,0.0,74.0,15.0,1.04
171478,"Chicken, broilers or fryers, breast, meat only, cooked, stewed",Poultry Products,SR Legacy,151.0,29.0,0.0,3.03,0.0,0.0,63.0,13.0,0.88
170756,"Fast Foods, Fried Chicken, Breast, meat and skin and breading",Fast Foods,SR Legacy,230.0,23.5,6.03,12.4,0.1,0.0,657.0,45.0,0.72
170353,"POPEYES, Fried Chicken, Mild, Breast, meat and skin with breading",Fast Foods,SR Legacy,274.0,21.7,9.83,16.5,0.4,0.0,540.0,23.0,0.74
171077,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",Poultry Products,SR Legacy,501.0,22.5,0.0,2.62,0.0,0.0,45.0,5.0,0.37
171475,"Chicken, broilers or fryers, breast, meat and skin, cooked, fried, batter",Poultry Products,SR Legacy,260.0,24.8,8.99,13.2,0.3,0.0,275.0,20.0,1.25
171476,"Chicken, broilers or fryers, breast, meat and skin, cooked, fried, flour",Poultry Products,SR Legacy,222.0,31.8,1.64,8.87,0.1,0.0,76.0,16.0,1.19
170348,"KFC, Fried Chicken, EXTRA CRISPY, Breast, meat and skin with breading",Fast Foods,SR Legacy,1120.0,21.2,8.47,16.6,0.0,0.0,607.0,27.0,0.57
170744,"KFC, Fried Chicken, ORIGINAL RECIPE, Breast, meat and skin with breading",Fast Foods,SR Legacy,231.0,21.9,6.28,13.1,0.0,0.0,606.0,33.0,0.6
171140,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",Poultry Products,SR Legacy,659.0,32.1,0.0,3.24,0.0,0.0,47.0,6.0,0.49
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",Poultry Products,Foundation,695.0,32.1,0.0,3.24,0.0,0.0,47.0,6.0,0.49
171534,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, grilled",Poultry Products,SR Legacy,151.0,30.5,0.0,3.17,0.0,0.0,52.0,5.0,0.45
171123,"Chicken, broilers or fryers, rotisserie, original seasoning, breast, meat and skin, cooked",Poultry Products,SR Legacy,184.0,27.5,0.02,8.18,0.0,0.0,347.0,15.0,0.55
171518,"Chicken, broilers or fryers, rotisserie, original seasoning, breast, meat only, cooked",Poultry Products,SR Legacy,574.0,28.0,0.0,2.79,0.0,0.0,313.0,13.0,0.45
170356,"Fast Foods, Fried Chicken, Breast, meat only, skin and breading removed",Fast Foods,SR Legacy,153.0,27.9,0.0,4.54,0.0,0.0,512.0,23.0,0.54
170748,"POPEYES, Fried Chicken, Mild, Breast, meat only, skin and breading removed",Fast Foods,SR Legacy,655.0,29.0,0.0,4.52,0.0,0.0,526.0,20.0,0.55
171509,"Chicken, broilers or fryers, breast, skinless, boneless, meat only, with added solution, raw",Poultry Products,SR Legacy,453.0,20.3,0.0,3.0,0.0,0.0,173.0,5.0,0.34
170344,"KFC, Fried Chicken, EXTRA CRISPY, Breast, meat only, skin and breading removed",Fast Foods,SR Legacy,642.0,27.2,0.25,4.82,0.0,0.0,477.0,20.0,0.51
170739,"KFC, Fried Chicken, ORIGINAL RECIPE, Breast, meat only, skin and breading removed",Fast Foods,SR Legacy,622.0,26.9,0.0,4.56,0.0,0.0,499.0,25.0,0.53
171535,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, braised",Poultry Products,SR Legacy,609.0,28.2,0.0,3.61,0.0,0.0,172.0,5.0,0.43
171536,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, grilled",Poultry Products,SR Legacy,148.0,29.5,0.0,3.39,0.0,0.0,215.0,6.0,0.43
172941,"Turkey breast, sliced, prepackaged",Sausages and Luncheon Meats,SR Legacy,442.0,14.8,2.2,3.77,0.0,0.0,898.0,14.0,0.42
174474,"Pheasant, breast, meat only, raw",Poultry Products,SR Legacy,133.0,24.4,0.0,3.25,0.0,0.0,33.0,3.0,0.79
172829,"Quail, breast, meat only, raw",Poultry Products,SR Legacy,123.0,22.6,0.0,2.99,0.0,0.0,55.0,10.0,2.31
172567,"Veal, breast, separable fat, cooked","Lamb, Veal, and Game Products",SR Legacy,521.0,9.4,0.0,53.4,0.0,0.0,49.0,6.0,0.45
174469,"Duck, wild, breast, meat only, raw",Poultry Products,SR Legacy,123.0,19.8,0.0,4.25,0.0,0.0,57.0,3.0,4.51
172831,"Ruffed Grouse, breast meat, skinless, raw",Poultry Products,SR Legacy,467.0,25.9,0.0,0.88,0.0,0.0,50.0,5.0,0.58
171098,"Turkey, whole, breast, meat only, raw",Poultry Products,SR Legacy,479.0,23.7,0.14,1.48,0.0,0.0,113.0,11.0,0.73
173858,Chicken spread,Sausages and Luncheon Meats,SR Legacy,158.0,18.0,4.05,17.6,0.3,0.0,722.0,16.0,0.87
169886,"Chicken, meatless",Legumes and Legume Products,SR Legacy,936.0,23.6,3.64,12.7,3.6,0.0,709.0,35.0,3.27
173564,"Fat, chicken",Fats and Oils,SR Legacy,3770.0,0.0,0.0,99.8,0.0,0.0,0.0,0.0,0.0
171624,"Frankfurter, chicken",Sausages and Luncheon Meats,SR Legacy,223.0,15.5,2.74,16.2,0.0,0.0,1030.0,74.0,1.17
169187,"Pork, Shoulder breast, boneless, separable lean and fat, raw",Pork Products,SR Legacy,127.0,22.5,0.0,3.4,0.0,0.0,54.0,7.0,0.89
173634,"Canada Goose, breast meat only, skinless, raw",Poultry Products,SR Legacy,133.0,24.3,0.0,4.02,0.0,0.0,50.0,4.0,5.91
170602,"Beef, cured, corned beef, canned",Sausages and Luncheon Meats,SR Legacy,250.0,27.1,0.0,14.9,0.0,0.0,897.0,12.0,2.08
170200,"Beef, cured, corned beef, brisket, cooked",Beef Products,SR Legacy,251.0,18.2,0.47,19.0,0.0,0.0,973.0,8.0,1.86
170199,"Beef, cured, corned beef, brisket, raw",Beef Products,SR Legacy,198.0,14.7,0.14,14.9,0.0,0.0,1220.0,7.0,1.69
172012,"Bologna, beef",Sausages and Luncheon Meats,SR Legacy,299.0,10.9,4.29,26.1,0.0,0.0,1010.0,21.0,1.29
173332,"Beef, corned beef hash, with potato, canned","Meals, Entrees, and Side Dishes",SR Legacy,164.0,8.73,9.27,10.2,1.1,0.0,412.0,19.0,1.0
173086,"Beef, New Zealand, imported, manufacturing beef, raw",Beef Products,SR Legacy,119.0,21.2,0.23,3.68,0.0,0.0,55.0,6.0,1.95
174730,"Beef, New Zealand, imported, manufacturing beef, cooked, boiled",Beef Products,SR Legacy,528.0,24.2,0.0,3.26,0.0,0.0,32.0,6.0,1.78
