fdc_id,name,category,food_group,source,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron,meal_type
LBY001,بازين (شعير تقليدي),أطباق تقليدية,نشويات,وصفة تقديرية,165,5.3,30.4,2.1,4.8,0.7,220,18,1.5,غداء
LBY002,مبكبكة (مكرونة بالصلصة),مكرونة,نشويات,وصفة تقديرية,182,8.4,19.6,7.9,2.1,2.8,410,24,1.8,غداء، عشاء
LBY003,كسكسي ليبي (باللحم),أطباق حبوب,نشويات,وصفة تقديرية,171,7.9,22.5,5.6,3.2,2.0,280,27,1.6,غداء
LBY004,رشدة كسكاس (مبخرة),مكرونة,نشويات,وصفة تقديرية,176,8.8,24.3,4.7,2.3,1.9,295,26,1.7,غداء
LBY005,عصيدة ليبية,حلويات/فطور,نشويات,وصفة تقديرية,197,3.6,42.1,2.4,1.1,16.8,38,11,0.6,فطور، حلوى
LBY006,بسيسة ليبية,فطور,نشويات,وصفة تقديرية,402,13.8,58.4,11.5,9.1,2.9,8,54,4.3,فطور، سناك
LBY007,طاجين جبن ليبي,أطباق لحوم,بروتين,وصفة تقديرية,229,12.5,8.9,15.8,0.8,2.0,430,198,1.1,غداء، عشاء
LBY008,مبطن بطاطا مقلي,مقبلات,خضار,وصفة تقديرية,211,10.4,18.5,10.7,2.6,1.4,360,22,2.2,غداء، سناك
LBY009,عصبان ليبي,أطباق لحوم,بروتين,وصفة تقديرية,238,16.8,5.1,17.3,1.2,0.8,510,45,4.9,غداء
LBY010,شوربة ليبية,شوربات,خضار,وصفة تقديرية,82,5.2,7.1,3.5,1.4,1.6,320,18,0.9,غداء، عشاء
LBY011,زميتة,فطور,نشويات,وصفة تقديرية,389,12.9,56.7,10.8,8.4,2.5,9,51,3.9,فطور
LBY012,أرز مسقي ليبي,أطباق أرز,نشويات,وصفة تقديرية,194,7.2,25.8,6.8,1.5,3.2,260,21,1.4,غداء
LBY013,براك (ورق عنب),مقبلات,خضار,وصفة تقديرية,145,4.2,16.8,7.3,2.4,1.8,310,42,1.8,غداء، عشاء
LBY014,فتات درناوي,أطباق تقليدية,نشويات,وصفة تقديرية,185,9.4,22.1,6.5,2.1,1.2,340,29,1.9,غداء
LBY015,برغل بالبصلة,أطباق حبوب,نشويات,وصفة تقديرية,155,6.5,24.8,3.8,4.2,1.1,285,22,1.7,غداء
LBY016,كسكسي بالحوت,أطباق سمك,بروتين,وصفة تقديرية,162,11.2,21.4,3.9,2.8,1.5,310,34,1.4,غداء
LBY018,شكشوكة ليبية,أطباق بيض,بروتين,وصفة تقديرية,118,7.3,5.4,7.6,1.5,3.1,270,49,2.0,فطور، عشاء
LBY019,محشي خضار مشكل,خضار,خضار,وصفة تقديرية,125,4.8,14.5,5.9,2.1,2.4,330,28,1.3,غداء، عشاء
INT021,صدر دجاج مشوي,دواجن,بروتين,قياسي,165,31.0,0.0,3.6,0.0,0.0,74,15,1.0,غداء، عشاء
INT022,صدر دجاج مسلوق,دواجن,بروتين,قياسي,151,30.5,0.0,3.2,0.0,0.0,65,13,0.9,غداء، عشاء
