اليوم,الوجبة,الfoods,حجم الحصة (g),calories,protein,كارب,fat,درجة الهجين
الأحد,فطور,مهلبية الشوفان (دايت),250.0,238.0,11.2,37.5,6.2,0.758
الأحد,فطور,كاكاو بالحليب,250.0,275.0,11.2,45.0,9.5,0.802
الأحد,فطور,تين مجفف,80.0,199.0,2.6,51.1,0.7,0.626
الأحد,غداء,فخذ دجاج مشوي,244.0,438.0,60.5,0.0,20.0,0.878
الأحد,غداء,مكرونة مبخرة (بدون دهن زائد),250.0,412.0,18.0,64.5,11.2,0.811
الأحد,غداء,حلبة ليبية (متبل),197.0,188.0,8.9,20.1,9.5,0.819
الأحد,غداء,مخ خروف مطهو,30.0,45.0,3.1,0.0,3.5,0.737
الأحد,عشاء,شيش طاووق مشوي,250.0,375.0,60.0,5.2,11.2,0.937
الأحد,عشاء,سلطة ذرة وبقوليات,250.0,300.0,13.8,46.2,6.2,0.809
الأحد,عشاء,شوربة فطر (بدون كريمة دسمة),300.0,120.0,7.5,16.5,4.5,0.895
الأحد,عشاء,مناقيش زعتر,30.0,93.0,2.1,12.6,4.2,0.71
الأحد,وجبة خفيفة,بذور السمسم,30.0,172.0,5.3,7.0,14.9,0.891
الاثنين,فطور,شوفان بالحليب,250.0,262.0,12.0,38.0,8.0,0.819
الاثنين,فطور,لبن خض (طبيعي),250.0,100.0,8.2,12.0,2.2,0.862
الاثنين,فطور,عصير برتقال طبيعي,198.0,89.0,1.4,20.6,0.4,0.529
الاثنين,غداء,شاورما دجاج (لحم),236.0,438.0,52.9,5.9,21.7,0.835
الاثنين,غداء,كسكسي ليبي (باللحم),250.0,428.0,19.8,56.2,14.0,0.763
الاثنين,غداء,طبيخة كرسفي (لفت),250.0,188.0,9.5,25.5,7.0,0.793
الاثنين,غداء,خردل (مستردة),30.0,20.0,1.3,1.5,1.2,0.66
الاثنين,عشاء,صدر دجاج مسلوق,248.0,375.0,75.6,0.0,7.9,0.881
الاثنين,عشاء,سباغيتي مسلوقة,237.0,375.0,13.7,72.8,2.1,0.776
الاثنين,عشاء,شوربة عدس ليبية,225.0,214.0,13.9,32.6,4.0,0.831
الاثنين,عشاء,أفوكادو طازج,30.0,48.0,0.6,2.5,4.4,0.681
الاثنين,وجبة خفيفة,سمبوسة فرن (دجاج),210.0,357.0,19.9,42.0,11.6,0.819
الثلاثاء,فطور,كرواسون سادة,99.0,402.0,8.1,45.3,20.8,0.776
الثلاثاء,فطور,نسكافيه بالحليب,250.0,162.0,8.0,13.8,8.8,0.84
الثلاثاء,فطور,موز,100.0,89.0,1.1,22.8,0.3,0.414
الثلاثاء,غداء,توفو (مكعبات مطهوة),250.0,212.0,20.0,5.0,12.5,0.792
الثلاثاء,غداء,مكرونة جارية بالقديد,233.0,500.0,26.8,51.5,25.2,0.729
الثلاثاء,غداء,يخنة فطر (مشروم),300.0,135.0,9.6,16.5,5.4,0.774
الثلاثاء,غداء,محمرة (بالجوز والفلفل),30.0,54.0,1.4,3.6,4.3,0.646
الثلاثاء,عشاء,فخذ دجاج مشوي,209.0,375.0,51.8,0.0,17.1,0.927
الثلاثاء,عشاء,محمصة ليبية (بالبصلة),242.0,375.0,14.0,69.0,7.7,0.75
الثلاثاء,عشاء,حلبة ليبية (متبل),225.0,214.0,10.1,22.9,10.8,0.856
الثلاثاء,عشاء,أفوكادو مشوي,30.0,50.0,0.6,2.5,4.7,0.598
الثلاثاء,وجبة خفيفة,كاكاو بالحليب,250.0,275.0,11.2,45.0,9.5,0.824
الأربعاء,فطور,مهلبية الشوفان (دايت),250.0,238.0,11.2,37.5,6.2,0.801
الأربعاء,فطور,فطيرة جبنة,139.0,402.0,15.3,48.6,16.7,0.816
الأربعاء,فطور,تين مجفف,80.0,199.0,2.6,51.1,0.7,0.701
الأربعاء,غداء,شيش طاووق مشوي,250.0,375.0,60.0,5.2,11.2,0.874
الأربعاء,غداء,مكرونة مبخرة (بدون دهن زائد),250.0,412.0,18.0,64.5,11.2,0.811
الأربعاء,غداء,محشي خضار مشكل,150.0,188.0,7.2,21.8,8.8,0.762
الأربعاء,غداء,مخ خروف مطهو,30.0,45.0,3.1,0.0,3.5,0.737
الأربعاء,عشاء,شاورما دجاج (لحم),203.0,375.0,45.5,5.1,18.7,0.886
الأربعاء,عشاء,سلطة ذرة وبقوليات,250.0,300.0,13.8,46.2,6.2,0.809
الأربعاء,عشاء,شوربة فطر (بدون كريمة دسمة),300.0,120.0,7.5,16.5,4.5,0.895
الأربعاء,عشاء,مناقيش زعتر,30.0,93.0,2.1,12.6,4.2,0.71
الأربعاء,وجبة خفيفة,بذور السمسم,30.0,172.0,5.3,7.0,14.9,0.891
الخميس,فطور,شوفان بالحليب,250.0,262.0,12.0,38.0,8.0,0.819
الخميس,فطور,لبن خض (طبيعي),250.0,100.0,8.2,12.0,2.2,0.862
الخميس,فطور,عصير برتقال طبيعي,198.0,89.0,1.4,20.6,0.4,0.529
الخميس,غداء,سمبوسة فرن (دجاج),250.0,425.0,23.8,50.0,13.8,0.82
الخميس,غداء,كسكسي ليبي (باللحم),250.0,428.0,19.8,56.2,14.0,0.763
الخميس,غداء,طبيخة كرسفي (لفت),250.0,188.0,9.5,25.5,7.0,0.793
الخميس,غداء,خردل (مستردة),30.0,20.0,1.3,1.5,1.2,0.66
الخميس,عشاء,صدر دجاج مسلوق,248.0,375.0,75.6,0.0,7.9,0.881
الخميس,عشاء,سباغيتي مسلوقة,237.0,375.0,13.7,72.8,2.1,0.776
الخميس,عشاء,شوربة عدس ليبية,225.0,214.0,13.9,32.6,4.0,0.831
الخميس,عشاء,أفوكادو طازج,30.0,48.0,0.6,2.5,4.4,0.681
الخميس,وجبة خفيفة,نسكافيه بالحليب,250.0,162.0,8.0,13.8,8.8,0.794
الجمعة,فطور,كرواسون سادة,99.0,402.0,8.1,45.3,20.8,0.776
الجمعة,فطور,بذور القنب (Hemp Seeds),80.0,442.0,25.3,7.0,39.0,0.801
الجمعة,فطور,موز,100.0,89.0,1.1,22.8,0.3,0.414
الجمعة,غداء,فخذ دجاج مشوي,244.0,438.0,60.5,0.0,20.0,0.881
الجمعة,غداء,مكرونة جارية بالقديد,233.0,500.0,26.8,51.5,25.2,0.729
الجمعة,غداء,حلبة ليبية (متبل),197.0,188.0,8.9,20.1,9.5,0.823
الجمعة,غداء,محمرة (بالجوز والفلفل),30.0,54.0,1.4,3.6,4.3,0.646
الجمعة,عشاء,شيش طاووق مشوي,250.0,375.0,60.0,5.2,11.2,0.94
الجمعة,عشاء,محمصة ليبية (بالبصلة),242.0,375.0,14.0,69.0,7.7,0.765
الجمعة,عشاء,سلطة كول سلو (بدون مايونيز دسم),300.0,195.0,4.2,28.5,7.5,0.824
الجمعة,عشاء,أفوكادو مشوي,30.0,50.0,0.6,2.5,4.7,0.619
الجمعة,وجبة خفيفة,كاكاو بالحليب,250.0,275.0,11.2,45.0,9.5,0.824
السبت,فطور,مهلبية الشوفان (دايت),250.0,238.0,11.2,37.5,6.2,0.801
السبت,فطور,فطيرة جبنة,139.0,402.0,15.3,48.6,16.7,0.816
السبت,فطور,تين مجفف,80.0,199.0,2.6,51.1,0.7,0.701
السبت,غداء,شاورما دجاج (لحم),236.0,438.0,52.9,5.9,21.7,0.833
السبت,غداء,مكرونة مبخرة (بدون دهن زائد),250.0,412.0,18.0,64.5,11.2,0.811
السبت,غداء,يخنة فطر (مشروم),300.0,135.0,9.6,16.5,5.4,0.77
السبت,غداء,مخ خروف مطهو,30.0,45.0,3.1,0.0,3.5,0.737
السبت,عشاء,توفو (مكعبات مطهوة),250.0,212.0,20.0,5.0,12.5,0.843
السبت,عشاء,سلطة ذرة وبقوليات,250.0,300.0,13.8,46.2,6.2,0.809
السبت,عشاء,شوربة فطر (بدون كريمة دسمة),300.0,120.0,7.5,16.5,4.5,0.895
السبت,عشاء,مناقيش زعتر,30.0,93.0,2.1,12.6,4.2,0.71
السبت,وجبة خفيفة,بذور السمسم,30.0,172.0,5.3,7.0,14.9,0.891
