اليوم,الوجبة,الfoods,حجم الحصة (g),calories,protein,كارب,fat,درجة الهجين
الأحد,فطور,مهلبية الشوفان (دايت),186.0,177.0,8.4,27.9,4.7,0.868
الأحد,فطور,فول مدمس (بالزيت),161.0,177.0,12.1,22.5,7.2,0.964
الأحد,غداء,تونة معلبة (بالماء),166.0,193.0,42.3,0.0,1.3,0.978
الأحد,غداء,مكرونة القمح الكامل مسلوقة,177.0,220.0,9.4,46.9,0.9,0.796
الأحد,غداء,براعم البروكلي,236.0,82.0,7.1,11.8,1.2,0.897
الأحد,غداء,محمرة (بالجوز والفلفل),30.0,54.0,1.4,3.6,4.3,0.825
الأحد,عشاء,بلح البحر (كوزا) مطهو,96.0,165.0,23.0,7.1,4.3,0.988
الأحد,عشاء,مكرونة جارية بالقديد,77.0,165.0,8.9,17.0,8.3,0.744
الأحد,عشاء,طماطم (طازجة),300.0,54.0,2.7,11.7,0.6,0.874
الأحد,عشاء,خردل (مستردة),30.0,20.0,1.3,1.5,1.2,0.758
الأحد,وجبة خفيفة,بذور السمسم,27.0,157.0,4.8,6.3,13.4,0.934
الاثنين,فطور,شوفان بالحليب,168.0,177.0,8.1,25.5,5.4,0.698
الاثنين,فطور,بذور القنب (Hemp Seeds),80.0,442.0,25.3,7.0,39.0,0.898
الاثنين,غداء,صدر دجاج مسلوق,127.0,192.0,38.7,0.0,4.1,0.979
الاثنين,غداء,كسكسي القمح الكامل,152.0,220.0,8.8,42.6,1.2,0.793
الاثنين,غداء,بابا غنوج (بدون زيت زائد),138.0,82.0,2.1,9.0,4.8,0.851
الاثنين,غداء,مخ خروف مطهو,30.0,45.0,3.1,0.0,3.5,0.742
الاثنين,عشاء,مكرونة العدس مسلوقة,106.0,165.0,12.7,23.3,1.3,0.997
الاثنين,عشاء,بطاطا مشوية بالفرن,177.0,165.0,4.4,37.3,0.2,0.756
الاثنين,عشاء,محشي خضار مشكل,80.0,100.0,3.8,11.6,4.7,0.857
الاثنين,عشاء,زيتون أسود مملح,30.0,34.0,0.2,1.9,3.2,0.644
الاثنين,وجبة خفيفة,بندق مشوي,24.0,157.0,3.6,4.2,15.0,0.905
الثلاثاء,فطور,شوفان بالماء,249.0,177.0,6.2,29.9,3.5,0.687
الثلاثاء,فطور,بيض عين مقلي,93.0,177.0,12.1,0.7,13.5,0.982
الثلاثاء,غداء,سمك مشوي فيليه (هامور),183.0,192.0,39.3,0.0,2.7,0.976
الثلاثاء,غداء,أرز بري مطهو,218.0,220.0,8.7,45.8,0.7,0.798
الثلاثاء,غداء,ملوخية ليبية (باللحم),80.0,92.0,10.2,3.4,5.2,0.865
الثلاثاء,غداء,زيتون أخضر مملح,30.0,44.0,0.3,1.1,4.6,0.397
الثلاثاء,عشاء,تونة معلبة (بالماء),142.0,165.0,36.2,0.0,1.1,0.978
الثلاثاء,عشاء,مبكبكة (مكرونة بالصلصة),91.0,165.0,7.6,17.8,7.2,0.726
الثلاثاء,عشاء,شوربة بروكلي كريمية (لايت),171.0,94.0,6.0,11.1,4.3,0.803
الثلاثاء,عشاء,أفوكادو طازج,29.0,47.0,0.6,2.5,4.3,0.524
الثلاثاء,وجبة خفيفة,محمرة (بالجوز والفلفل),30.0,54.0,1.4,3.6,4.3,0.896
