k,inertia,silhouette,calinski_harabasz,davies_bouldin,stability_ari,smallest_cluster,largest_cluster,largest_cluster_share,cluster_sizes,silhouette_rank,calinski_harabasz_rank,davies_bouldin_rank,stability_rank,balance_rank,mean_rank
2,2285.491255175192,0.4952426678176819,180.07287020615422,1.271537616453543,1.0,107,349,0.7653508771929824,"[107, 349]",4.0,10.0,11.0,1.0,11.0,7.4
3,1843.5689502586501,0.5020958187297921,165.66759421911786,0.882773729278114,1.0,1,348,0.7631578947368421,"[348, 107, 1]",2.0,11.0,10.0,1.0,10.0,6.8
4,1431.658345017536,0.5068799143314222,185.25705540971265,0.8382183687840228,1.0,1,338,0.7412280701754386,"[84, 338, 33, 1]",1.0,9.0,8.0,1.0,9.0,5.6
5,1114.4372517499412,0.459765417736933,210.19146613896058,0.7891796633993111,0.9900781242669963,1,271,0.5942982456140351,"[271, 31, 69, 84, 1]",7.0,8.0,4.0,6.0,8.0,6.6
6,863.3903441189564,0.4869976219162711,242.7347843959895,0.7941202356574767,1.0,1,270,0.5921052631578947,"[270, 30, 54, 69, 1, 32]",6.0,7.0,5.0,1.0,7.0,5.2
7,687.1308175651884,0.4926687133628743,272.79770560975476,0.7072807541472377,0.9987009701966059,1,268,0.5877192982456141,"[268, 53, 29, 1, 6, 30, 69]",5.0,6.0,1.0,5.0,6.0,4.6
8,598.5561752282497,0.49739846397580767,277.3012987830225,0.7143564053940988,0.9870342949062907,1,266,0.5833333333333334,"[28, 266, 26, 50, 69, 1, 10, 6]",3.0,5.0,2.0,7.0,5.0,4.4
9,520.3735681747423,0.3924082927213114,286.8816625569627,0.8094357524635485,0.9428984628905476,1,190,0.4166666666666667,"[190, 26, 28, 1, 66, 43, 10, 87, 5]",8.0,4.0,7.0,11.0,4.0,6.8
10,445.11560340155495,0.39209075355281403,305.8157954474607,0.7629388264466661,0.9544664332616772,1,179,0.3925438596491228,"[6, 179, 26, 67, 1, 6, 43, 10, 22, 96]",9.0,2.0,3.0,10.0,3.0,5.4
11,406.2961820659399,0.38765090469179997,305.10702627756166,0.8056007826187465,0.9616100432910997,1,169,0.3706140350877193,"[44, 39, 22, 1, 10, 43, 169, 5, 26, 91, 6]",11.0,3.0,6.0,9.0,1.0,6.0
12,371.68229583293896,0.38944652774650296,306.2784521006409,0.8396530928166867,0.9620903464360357,1,169,0.3706140350877193,"[19, 90, 10, 1, 44, 5, 26, 6, 22, 26, 169, 38]",10.0,1.0,9.0,8.0,1.0,5.8
